age,genus,volume,surface
20,oak,11.9,414
30,oak,61.6,1970
40,oak,110.5,3250
50,oak,156,3990
60,oak,195.9,4450
70,oak,230.2,4920
80,oak,261,5410
90,oak,288.3,5620
100,oak,313.5,5780
20,pine,132.9,4303
30,pine,234.4,6604
40,pine,314.9,7044
50,pine,363.8,6831
60,pine,398.9,6799
70,pine,419.8,6469
80,pine,433.8,6400
