Gauci Biome,n (filtered),n (total),% kept,Mean LAI,Median LAI,SD LAI,Q25,Q75,Range
Temperate Conifer Forests,338,346,97.7,6.04,5.5,3.43,3.37,8.21,0.01 - 16.01
Tropical & Subtropical Moist Broadleaf Forests,248,255,97.3,5.09,4.91,2.48,3.14,6.7,0.37 - 12.3
Temperate Broadleaf & Mixed Forests,1151,1172,98.2,5.02,4.87,2.19,3.42,6.5,0.08 - 11.1
Mangroves,31,31,100,4.17,4.2,1.1,3.52,4.99,1.56 - 5.86
Trop. & Subtrop. Dry Broadleaf Forests,23,24,95.8,3.99,3.8,1.85,2.68,5.15,1.42 - 8
Montane Grasslands & Shrublands,45,47,95.7,4.06,3.7,2.49,2.4,5.6,0.32 - 10.21
Boreal Forests/Taiga,234,237,98.7,3.58,3.09,2.09,2.05,5.1,0.15 - 9.78
"Mediterranean Forests, Woodlands & Scrub",184,186,98.9,3.36,2.94,1.95,1.9,4.78,0.13 - 8.97
Tropical & Subtropical Coniferous Forests,19,19,100,3.68,2.35,2.85,1.49,6.88,0.59 - 8.35
"Temperate Grasslands, Savannas &Shrublands",103,106,97.2,2.4,2.24,0.96,1.88,3.07,0.17 - 4.8
Deserts & Xeric Shrublands,84,86,97.7,2.03,2.1,1.45,0.59,2.95,0.1 - 5.39
Flooded Grasslands & Savannas,2,2,100,1.36,1.36,1.11,0.97,1.76,0.58 - 2.15
"Trop. & Subtrop. Grasslands, Savannas &",69,71,97.2,1.78,1,1.55,0.67,3,0.15 - 5.88
Tundra,50,53,94.3,0.99,0.82,0.71,0.47,1.43,0.01 - 2.64
