PFT,n,mean_lai,sd_lai,median_lai,q25,q75
EC,875,5.39,2.87,4.95,3.11,7.2
DB,819,4.49,1.98,4.43,3,5.9
Mix,90,4.07,2.22,4.15,2.56,5.05
sDB,57,5.01,4.18,3.65,2.02,6.36
EB,677,3.44,2.41,2.9,1.46,5.18
DC,30,2.8,2.42,1.9,1.34,4.13
