gauci_biome,n,mean_lai,sd_lai,median_lai,q25,q75,min_lai,max_lai
Temperate Conifer Forests,811,5.53,2.89,5.07,3.24,7.36,0,13.8
Tropical & Subtropical Coniferous Forests,5,5.11,1.6,5,4.47,5.75,3,7.35
Tropical & Subtropical Moist Broadleaf Forests,112,4.97,2.13,4.86,3.09,6.71,0.65,10.12
"Temperate Grasslands, Savannas &Shrublands",28,5.99,5.07,4.33,1.97,8.33,0.72,17.4
Temperate Broadleaf & Mixed Forests,1340,4.13,2.22,4.05,2.4,5.7,0.01,10.7
"Trop. & Subtrop. Grasslands, Savannas &",24,4.6,2.88,3.9,3.08,6,0.26,10.4
Boreal Forests/Taiga,206,2.78,1.82,2.44,1.43,3.62,0.01,8.41
Deserts & Xeric Shrublands,5,1.47,0.7,1.58,0.94,2.02,0.59,2.22
Trop. & Subtrop. Dry Broadleaf Forests,2,0.86,0.21,0.86,0.78,0.93,0.71,1
"Mediterranean Forests, Woodlands & Scrub",15,0.57,0.36,0.59,0.3,0.73,0.1,1.29
