gauci_biome,n,mean_lai,sd_lai,median_lai,q25,q75,min_lai,max_lai,final_lai
Temperate Conifer Forests,338,6.038313609467456,3.4332308402214182,5.5,3.365,8.215,0.01,16.01,5.5
Tropical & Subtropical Moist Broadleaf Forests,248,5.094153225806451,2.4800236891396823,4.91,3.1375,6.702500000000001,0.37,12.3,4.91
Temperate Broadleaf & Mixed Forests,1151,5.023866203301477,2.1908758017296686,4.87,3.415,6.5,0.08,11.1,4.87
Mangroves,31,4.166129032258064,1.097420239833264,4.2,3.52,4.994999999999999,1.56,5.86,4.2
Trop. & Subtrop. Dry Broadleaf Forests,23,3.9943478260869565,1.8473268797888787,3.8,2.685,5.15,1.42,8,3.8
Boreal Forests/Taiga,234,3.581837606837607,2.0892191179652504,3.0949999999999998,2.05,5.1,0.15,9.78,3.0949999999999998
"Mediterranean Forests, Woodlands & Scrub",184,3.3643478260869566,1.9531791679112447,2.935,1.8974999999999997,4.785,0.13,8.97,2.935
Tropical & Subtropical Coniferous Forests,19,3.6847368421052633,2.848302356806502,2.35,1.49,6.875,0.59,8.35,2.35
