gauci_biome,consensus_mean_bayes,consensus_sd_bayes,credible_lower,credible_upper,asner_influence,ilo_influence
Temperate Broadleaf & Mixed Forests,4.3579828451322,0.05351478584513329,4.253093864875738,4.462871825388661,0.2213425680895138,0.7786574319104863
Temperate Conifer Forests,5.44367869955177,0.08921375959342148,5.268819730748664,5.618537668354875,0.22716131696903025,0.7728386830309698
Boreal Forests/Taiga,2.749748446966792,0.07969283003209528,2.593550500103885,2.9059463938296988,0.6050310606641613,0.3949689393358386
Tropical & Subtropical Moist Broadleaf Forests,4.904103408944581,0.14642851830153025,4.617103513073582,5.191103304815581,0.47068993611013293,0.529310063889867
"Temperate Grasslands, Savannas &Shrublands",3.62051335126156,0.2908561725672346,3.0504352530297805,4.19059144949334,0.9078492907043829,0.09215070929561706
Trop. & Subtrop. Dry Broadleaf Forests,1.1331327720413025,0.14448532195529143,0.8499415410089313,1.4163240030736737,0.05324225575853851,0.9467577442414614
"Mediterranean Forests, Woodlands & Scrub",0.7031397244036152,0.08855033401166992,0.5295810697407421,0.8766983790664882,0.09245814194695509,0.9075418580530449
"Trop. & Subtrop. Grasslands, Savannas &",3.999109509917177,0.5020517572414906,3.0150880657238557,4.983130954110499,0.27067139192919937,0.7293286080708006
Deserts & Xeric Shrublands,1.5956166245872987,0.2050451257477989,1.193728178121613,1.9975050710529845,0.5709846572149933,0.42901534278500686
