gauci_biome,n,final_lai,median_lai,sd_lai
Temperate Conifer Forests,338,6.04,5.5,3.43
Tropical & Subtropical Moist Broadleaf Forests,248,5.09,4.91,2.48
Temperate Broadleaf & Mixed Forests,1151,5.02,4.87,2.19
Mangroves,31,4.17,4.2,1.1
Trop. & Subtrop. Dry Broadleaf Forests,23,3.99,3.8,1.85
Montane Grasslands & Shrublands,45,4.06,3.7,2.49
Boreal Forests/Taiga,234,3.58,3.09,2.09
"Mediterranean Forests, Woodlands & Scrub",184,3.36,2.94,1.95
Tropical & Subtropical Coniferous Forests,19,3.68,2.35,2.85
"Temperate Grasslands, Savannas &Shrublands",103,2.4,2.24,0.96
Deserts & Xeric Shrublands,84,2.03,2.1,1.45
Flooded Grasslands & Savannas,2,1.36,1.36,1.11
"Trop. & Subtrop. Grasslands, Savannas &",69,1.78,1,1.55
Tundra,50,0.99,0.82,0.71
