gauci_biome,n_Asner,n_Iio,mean_lai_Asner,mean_lai_Iio,consensus_lai
Temperate Broadleaf & Mixed Forests,417,1166,5.1729496402877695,5.187864493996569,5.18040706714217
Temperate Conifer Forests,151,349,5.296913907284768,6.3674240687679085,5.832168988026338
Tropical & Subtropical Moist Broadleaf Forests,80,248,6.4593750000000005,5.419637096774194,5.939506048387097
Boreal Forests/Taiga,73,238,2.8672602739726027,3.676050420168067,3.271655347070335
"Mediterranean Forests, Woodlands & Scrub",16,186,2.14875,3.428817204301075,2.788783602150538
"Temperate Grasslands, Savannas &Shrublands",52,106,4.489999999999999,2.4462264150943396,3.4681132075471695
Deserts & Xeric Shrublands,20,86,5.7335,2.1940697674418606,3.9637848837209306
"Trop. & Subtrop. Grasslands, Savannas &",6,71,1.2283333333333333,1.9897183098591549,1.609025821596244
Tundra,9,53,2.3844444444444446,1.1335849056603773,1.759014675052411
Montane Grasslands & Shrublands,7,47,13.514285714285714,4.517872340425532,9.016079027355623
Trop. & Subtrop. Dry Broadleaf Forests,17,23,2.9094117647058826,4.329130434782608,3.619271099744245
Tropical & Subtropical Coniferous Forests,4,19,0.9275,3.6847368421052633,2.3061184210526315
Flooded Grasslands & Savannas,1,2,0.5,1.365,0.9325
